Sat Sep 22 00:08:01 CDT 2018 waiting for Home
Sat Sep 22 00:08:01 CDT 2018 No match Home
Sat Sep 22 00:08:01 CDT 2018 skip check BuilderHome
Sat Sep 22 00:08:05 CDT 2018 waiting for Home
Sat Sep 22 00:08:05 CDT 2018 No match Home
Sat Sep 22 00:08:05 CDT 2018 skip check BuilderHome
Sat Sep 22 00:08:09 CDT 2018 waiting for Home
Sat Sep 22 00:08:09 CDT 2018 No match Home
Sat Sep 22 00:08:09 CDT 2018 skip check BuilderHome
Sat Sep 22 00:08:13 CDT 2018 waiting for Home
Sat Sep 22 00:08:13 CDT 2018 No match Home
Sat Sep 22 00:08:13 CDT 2018 skip check BuilderHome
Sat Sep 22 00:08:17 CDT 2018 waiting for Home
Sat Sep 22 00:08:17 CDT 2018 No match Home
Sat Sep 22 00:08:17 CDT 2018 skip check BuilderHome
Sat Sep 22 00:08:21 CDT 2018 waiting for Home
Sat Sep 22 00:08:21 CDT 2018 No match Home
Sat Sep 22 00:08:21 CDT 2018 skip check BuilderHome
Sat Sep 22 00:08:25 CDT 2018 waiting for Home
Sat Sep 22 00:08:25 CDT 2018 No match Home
Sat Sep 22 00:08:25 CDT 2018 skip check BuilderHome
Sat Sep 22 00:08:29 CDT 2018 waiting for Home
Sat Sep 22 00:08:29 CDT 2018 No match Home
Sat Sep 22 00:08:29 CDT 2018 skip check BuilderHome
Sat Sep 22 00:08:33 CDT 2018 waiting for Home
Sat Sep 22 00:08:33 CDT 2018 No match Home
Sat Sep 22 00:08:33 CDT 2018 skip check BuilderHome
Sat Sep 22 00:08:37 CDT 2018 waiting for Home
Sat Sep 22 00:08:37 CDT 2018 No match Home
Sat Sep 22 00:08:37 CDT 2018 skip check BuilderHome
Sat Sep 22 00:08:41 CDT 2018 waiting for Home
Sat Sep 22 00:08:41 CDT 2018 No match Home
Sat Sep 22 00:08:41 CDT 2018 skip check BuilderHome
Sat Sep 22 00:08:45 CDT 2018 waiting for Home
Sat Sep 22 00:08:45 CDT 2018 No match Home
Sat Sep 22 00:08:45 CDT 2018 skip check BuilderHome
Sat Sep 22 00:08:49 CDT 2018 waiting for Home
Sat Sep 22 00:08:49 CDT 2018 No match Home
Sat Sep 22 00:08:49 CDT 2018 skip check BuilderHome
Sat Sep 22 00:08:53 CDT 2018 waiting for Home
Sat Sep 22 00:08:53 CDT 2018 No match Home
Sat Sep 22 00:08:53 CDT 2018 skip check BuilderHome
Sat Sep 22 00:08:57 CDT 2018 waiting for Home
Sat Sep 22 00:08:57 CDT 2018 No match Home
Sat Sep 22 00:08:57 CDT 2018 skip check BuilderHome
Sat Sep 22 00:09:01 CDT 2018 waiting for Home
Sat Sep 22 00:09:01 CDT 2018 No match Home
Sat Sep 22 00:09:01 CDT 2018 skip check BuilderHome
Sat Sep 22 00:09:05 CDT 2018 waiting for Home
Sat Sep 22 00:09:05 CDT 2018 No match Home
Sat Sep 22 00:09:05 CDT 2018 skip check BuilderHome
Sat Sep 22 00:09:09 CDT 2018 waiting for Home
Sat Sep 22 00:09:09 CDT 2018 No match Home
Sat Sep 22 00:09:09 CDT 2018 skip check BuilderHome
Sat Sep 22 00:09:13 CDT 2018 waiting for Home
Sat Sep 22 00:09:13 CDT 2018 No match Home
Sat Sep 22 00:09:13 CDT 2018 skip check BuilderHome
Sat Sep 22 00:09:20 CDT 2018 waiting for Settings
Sat Sep 22 00:09:20 CDT 2018 No match Settings
Sat Sep 22 00:09:23 CDT 2018 waiting for Settings
Sat Sep 22 00:09:23 CDT 2018 No match Settings
Sat Sep 22 00:09:26 CDT 2018 waiting for Settings
Sat Sep 22 00:09:26 CDT 2018 No match Settings
Sat Sep 22 00:09:29 CDT 2018 waiting for Settings
Sat Sep 22 00:09:29 CDT 2018 No match Settings
Sat Sep 22 00:09:32 CDT 2018 waiting for Settings
Sat Sep 22 00:09:32 CDT 2018 No match Settings
Sat Sep 22 00:09:35 CDT 2018 waiting for Settings
Sat Sep 22 00:09:35 CDT 2018 No match Settings
